kawalcovid_provinsi,time,harian,lat_pulau_terbesar,lon_pulau_terbesar
Aceh,11/3/2020,25,4.282691739,96.94322512
Aceh,11/4/2020,44,4.282691739,96.94322512
Aceh,11/5/2020,37,4.282691739,96.94322512
Aceh,11/6/2020,71,4.282691739,96.94322512
Aceh,11/7/2020,27,4.282691739,96.94322512
Aceh,11/8/2020,26,4.282691739,96.94322512
Aceh,11/9/2020,3,4.282691739,96.94322512
Aceh,11/10/2020,29,4.282691739,96.94322512
Aceh,11/11/2020,51,4.282691739,96.94322512
Aceh,11/12/2020,27,4.282691739,96.94322512
Aceh,11/13/2020,45,4.282691739,96.94322512
Aceh,11/14/2020,20,4.282691739,96.94322512
Aceh,11/15/2020,49,4.282691739,96.94322512
Aceh,11/16/2020,21,4.282691739,96.94322512
Aceh,11/17/2020,43,4.282691739,96.94322512
Aceh,11/18/2020,18,4.282691739,96.94322512
Aceh,11/19/2020,50,4.282691739,96.94322512
Aceh,11/20/2020,21,4.282691739,96.94322512
Aceh,11/21/2020,42,4.282691739,96.94322512
Aceh,11/22/2020,18,4.282691739,96.94322512
Aceh,11/23/2020,30,4.282691739,96.94322512
Aceh,11/24/2020,6,4.282691739,96.94322512
Aceh,11/25/2020,39,4.282691739,96.94322512
Aceh,11/26/2020,24,4.282691739,96.94322512
Aceh,11/27/2020,21,4.282691739,96.94322512
Aceh,11/28/2020,11,4.282691739,96.94322512
Bali,3/15/2020,0,-8.355988108,115.1164467
Bali,3/16/2020,0,-8.355988108,115.1164467
Bali,3/17/2020,0,-8.355988108,115.1164467
Bali,3/18/2020,0,-8.355988108,115.1164467
Bali,3/19/2020,0,-8.355988108,115.1164467
Bali,3/20/2020,3,-8.355988108,115.1164467
Bali,3/21/2020,0,-8.355988108,115.1164467
Bali,3/22/2020,0,-8.355988108,115.1164467
Bali,3/23/2020,3,-8.355988108,115.1164467
Bali,3/24/2020,0,-8.355988108,115.1164467
Bali,3/25/2020,3,-8.355988108,115.1164467
Bali,3/26/2020,0,-8.355988108,115.1164467
Bali,3/27/2020,0,-8.355988108,115.1164467
Bali,3/28/2020,0,-8.355988108,115.1164467
Bali,3/29/2020,1,-8.355988108,115.1164467
Bali,3/30/2020,9,-8.355988108,115.1164467
Bali,3/31/2020,0,-8.355988108,115.1164467
Bali,4/1/2020,6,-8.355988108,115.1164467
Bali,4/2/2020,0,-8.355988108,115.1164467
Bali,4/3/2020,2,-8.355988108,115.1164467
Bali,4/4/2020,5,-8.355988108,115.1164467
Bali,4/5/2020,3,-8.355988108,115.1164467
Bali,4/6/2020,7,-8.355988108,115.1164467
Bali,4/7/2020,0,-8.355988108,115.1164467
Bali,4/8/2020,6,-8.355988108,115.1164467
Bali,4/9/2020,14,-8.355988108,115.1164467
Bali,4/10/2020,12,-8.355988108,115.1164467
Bali,4/11/2020,4,-8.355988108,115.1164467
Bali,4/12/2020,2,-8.355988108,115.1164467
Bali,4/13/2020,5,-8.355988108,115.1164467
Bali,4/14/2020,6,-8.355988108,115.1164467
Bali,4/15/2020,6,-8.355988108,115.1164467
Bali,4/16/2020,15,-8.355988108,115.1164467
Bali,4/17/2020,11,-8.355988108,115.1164467
Bali,4/18/2020,7,-8.355988108,115.1164467
Bali,4/19/2020,4,-8.355988108,115.1164467
Bali,4/20/2020,5,-8.355988108,115.1164467
Bali,4/21/2020,10,-8.355988108,115.1164467
Bali,4/22/2020,2,-8.355988108,115.1164467
Bali,4/23/2020,15,-8.355988108,115.1164467
Bali,4/24/2020,10,-8.355988108,115.1164467
Bali,4/25/2020,6,-8.355988108,115.1164467
Bali,4/26/2020,3,-8.355988108,115.1164467
Bali,4/27/2020,8,-8.355988108,115.1164467
Bali,4/28/2020,21,-8.355988108,115.1164467
Bali,4/29/2020,0,-8.355988108,115.1164467
Bali,4/30/2020,7,-8.355988108,115.1164467
Bali,5/1/2020,13,-8.355988108,115.1164467
Bali,5/2/2020,2,-8.355988108,115.1164467
Bali,5/3/2020,25,-8.355988108,115.1164467
Bali,5/4/2020,9,-8.355988108,115.1164467
Bali,5/5/2020,6,-8.355988108,115.1164467
Bali,5/6/2020,0,-8.355988108,115.1164467
Bali,5/7/2020,10,-8.355988108,115.1164467
Bali,5/8/2020,13,-8.355988108,115.1164467
Bali,5/9/2020,6,-8.355988108,115.1164467
Bali,5/10/2020,5,-8.355988108,115.1164467
Bali,5/11/2020,3,-8.355988108,115.1164467
Bali,5/12/2020,14,-8.355988108,115.1164467
Bali,5/13/2020,4,-8.355988108,115.1164467
Bali,5/14/2020,5,-8.355988108,115.1164467
Bali,5/15/2020,6,-8.355988108,115.1164467
Bali,5/16/2020,3,-8.355988108,115.1164467
Bali,5/17/2020,2,-8.355988108,115.1164467
Bali,5/18/2020,11,-8.355988108,115.1164467
Bali,5/19/2020,4,-8.355988108,115.1164467
Bali,5/20/2020,8,-8.355988108,115.1164467
Bali,5/21/2020,3,-8.355988108,115.1164467
Bali,5/22/2020,6,-8.355988108,115.1164467
Bali,5/23/2020,8,-8.355988108,115.1164467
Bali,5/24/2020,6,-8.355988108,115.1164467
Bali,5/25/2020,2,-8.355988108,115.1164467
Bali,5/26/2020,11,-8.355988108,115.1164467
Bali,5/27/2020,8,-8.355988108,115.1164467
Bali,5/28/2020,5,-8.355988108,115.1164467
Bali,5/29/2020,23,-8.355988108,115.1164467
Bali,5/30/2020,12,-8.355988108,115.1164467
